c1,c2
monacoin,aelf
verge,quant
tron,komodo
lisk,wax
dogecoin,siacoin
bitcoin,dogecoin
maker,ontology
iota,quant
cardano,decentraland
avencoin,quant
quant,aelf
litecoin,ravencoin
holo,quant
ontology,ravencoin
stellar,siacoin
komodo,bytom
dogecoin,flexacoin
zcash,decentraland
bitcoin,stellar
dogecoin,nano
quant,maidsafecoin
nano,quant
neo,augur
litecoin,bittorrent
monacoin,decentraland
icon,lisk
komodo,quant
xrp,ravencoin
dogecoin,quant
quant,bitshares
icon,monacoin
stellar,quant
quant,bittorrent
stellar,dogecoin
quant,flexacoin
loopring,wax
verge,komodo
tron,bytom
monacoin,loopring
monacoin,steem
lisk,monacoin
